movie,year,production_budget,gross_revenue,month,profit,release_date,genre_list,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Inception,2010,160000000,835524642,7,675524642,2010-07-16,"['Action', 'Science Fiction', 'Adventure']","Action,Science Fiction,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Hunger Games: Mockingjay - Part 2,2015,160000000,648986787,11,488986787,2015-11-18,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Hunger Games: Mockingjay - Part 2,2015,160000000,648986787,11,488986787,2015-11-18,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Godzilla,2014,160000000,529076069,5,369076069,2014-05-16,"['Action', 'Drama', 'Science Fiction']","Action,Drama,Science Fiction",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
X-Men: First Class,2011,160000000,355408305,6,195408305,2011-06-03,"['Action', 'Science Fiction', 'Adventure']","Action,Science Fiction,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Sorcerer's Apprentice,2010,160000000,217986320,7,57986320,2010-07-13,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']","Fantasy,Adventure,Action,Comedy,Drama",1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Warcraft,2016,160000000,425522281,6,265522281,2016-06-10,"['Action', 'Adventure', 'Fantasy']","Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deepwater Horizon,2016,156000000,122603824,9,-33396176,2016-09-30,"['Drama', 'Action']","Drama,Action",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Deepwater Horizon,2016,156000000,122603824,9,-33396176,2016-09-30,"['Drama', 'Action']","Drama,Action",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,155000000,418186950,12,263186950,2010-12-10,"['Adventure', 'Family', 'Fantasy']","Adventure,Family,Fantasy",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pacific Rim: Uprising,2018,155000000,290930148,3,135930148,2018-03-23,"['Action', 'Fantasy', 'Science Fiction', 'Adventure']","Action,Fantasy,Science Fiction,Adventure",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
War for the Planet of the Apes,2017,152000000,489592267,7,337592267,2017-07-14,"['Drama', 'Science Fiction', 'War']","Drama,Science Fiction,War",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Wonder Woman,2017,150000000,821133378,6,671133378,2017-06-02,"['Adventure', 'Fantasy', 'War', 'Romance']","Adventure,Fantasy,War,Romance",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Frozen,2013,150000000,1272469910,11,1122469910,2013-11-27,"['Animation', 'Adventure', 'Family']","Animation,Adventure,Family",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zootopia,2016,150000000,1019429616,3,869429616,2016-03-04,"['Animation', 'Adventure', 'Family', 'Comedy']","Animation,Adventure,Family,Comedy",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Moana,2016,150000000,637517365,11,487517365,2016-11-23,"['Adventure', 'Comedy', 'Family', 'Animation']","Adventure,Comedy,Family,Animation",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Moana,2016,150000000,637517365,11,487517365,2016-11-23,"['Adventure', 'Comedy', 'Family', 'Animation']","Adventure,Comedy,Family,Animation",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thor: The Dark World,2013,150000000,644602516,11,494602516,2013-11-08,"['Action', 'Adventure', 'Fantasy']","Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dunkirk,2017,150000000,499837368,7,349837368,2017-07-19,"['War', 'Action', 'Drama']","War,Action,Drama",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Thor,2011,150000000,449326618,5,299326618,2011-05-06,"['Adventure', 'Fantasy', 'Action']","Adventure,Fantasy,Action",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
